final,name,open,started,succeeded,selfTestFail,errors,patterns,snippets,initialUrl,finalUrl
True,Onetrust,True,True,True,False,[],"['/(this|our) (web)?site.*cookies/gi', '/consent to.*cookies/gi']","['This site uses cookies to store information on your computer. Some are essential to make our site work; others help us improve the user experience. By using the site, you consent to the placement of t', 'consent to the placement of these cookies']",http://medtronic.com/,https://www.medtronic.com/us-en/index.html
True,TrustArc-frame,True,True,True,False,[],"['/by continuing/gi', '/we (use|serve)( optional)? cookies/gi', '/use of cookies/gi', '/(this|our) (web)?site.*cookies/gi']","['By continuing', 'We use cookies', 'use of cookies', 'our website, building integration with social media and helping target our advertising. By continuing your visit on our website, you are consenting to our use of cookies']",http://meethue.com/,https://www.philips-hue.com/en-us
True,generic-cosmetic,True,True,True,False,[],"['/accept all/gi', '/by clicking.*(accept|agree|allow)/gi', '/we (use|serve)( optional)? cookies/gi', '/use of cookies/gi', '/cookies (and|or) .* technologies/gi', '/consent to.*cookies/gi']","['Accept all', 'By clicking “Accept', 'We use cookies', 'use of cookies', 'cookies and similar technologies', 'consent to our use of cookies']",http://mega.co.nz/,https://mega.io/
True,Onetrust,True,True,True,False,[],['/we (use|serve)( optional)? cookies/gi'],['We use cookies'],http://cengage.com/,https://www.cengage.com/
True,com_didomi.io,True,True,True,False,[],[],[],http://centrum.cz/,https://www.centrum.cz/
False,Tealium,True,True,False,False,[],[],[],http://centrum24.pl/,https://www.centrum24.pl/centrum24-web/login?x=oWkxKmLMP6s
False,,False,False,False,False,[],"['/accept all/gi', '/(this|our) (web)?site.*cookies/gi']","['ACCEPT ALL', 'This website uses cookies']",http://cern.ch/,https://home.cern/
True,Complianz banner,True,True,True,False,[],[],[],http://certum.pl/,https://www.certum.pl/pl/
False,,False,False,False,False,[],"['/by continuing/gi', '/use of cookies/gi', '/(this|our) (web)?site.*cookies/gi']","['By continuing', 'use of cookies', 'our site you agree to our use of cookies']",http://cgtn.com/,https://www.cgtn.com/
True,generic-cosmetic,True,True,True,False,[],['/we (use|serve)( optional)? cookies/gi'],['We use cookies'],http://channel4.com/,https://www.channel4.com/
True,Onetrust,True,True,True,False,[],"['/accept all/gi', '/by clicking.*(accept|agree|allow)/gi']","['Accept All', 'By clicking “Accept All Cookies”, you agree']",http://channeladvisor.com/,https://www.channeladvisor.com/
True,osano,True,True,True,False,[],"['/(this|our) (web)?site.*cookies/gi', '/such as cookies/gi']","['This website stores data such as cookies', 'such as cookies']",http://sharethis.com/,https://sharethis.com/
True,Uniconsent,True,True,True,False,[],"['/(this|our) (web)?site.*cookies/gi', '/such as cookies/gi']","['our site to collect and use personal data to personalise content and ads, to provide social media features and to analyse our traffic. We also share information about your use of our site and interest', 'such as cookies']",http://sharethrough.com/,https://www.sharethrough.com/
False,,False,False,False,False,[],['/we (use|serve)( optional)? cookies/gi'],['We use cookies'],http://shazam.com/,https://www.shazam.com/
True,Onetrust,True,True,True,False,[],"['/accept all/gi', '/(this|our) (web)?site.*cookies/gi']","['Accept all', 'this website work. We also use cookies to help give you a better experience. By accepting all cookies, you agree to the storing of cookies']",http://shef.ac.uk/,https://www.sheffield.ac.uk/
True,Onetrust,True,True,True,False,[],"['/accept all/gi', '/(this|our) (web)?site.*cookies/gi']","['Accept all', 'this website work. We also use cookies to help give you a better experience. By accepting all cookies, you agree to the storing of cookies']",http://sheffield.ac.uk/,https://www.sheffield.ac.uk/
False,,False,False,False,False,[],['/by clicking.*(accept|agree|allow)/gi'],"['By clicking the SUBSCRIBE button, you are agree']",http://shein.com/,https://us.shein.com/?ref=www&rep=dir&ret=us
True,Evidon,True,True,True,False,[],['/we (use|serve)( optional)? cookies/gi'],['We use cookies'],http://shell.com/,https://www.shell.com/
True,Cybotcookiebot,True,True,True,False,[],"['/by clicking.*(accept|agree|allow)/gi', '/we (use|serve)( optional)? cookies/gi', '/(this|our) (web)?site.*cookies/gi']","['By clicking on Subscribe button below, I agree to receive on my email newsletter and personalized marketing content about products and services from Shelly companies. I agree', 'By clicking the Subscribe button below, I agree to receive email newsletters and personalized marketing content about products and services from Shelly companies. I agree', 'We use cookies', 'This website uses cookies']",http://shelly.cloud/,https://www.shelly.com/en-us
False,,False,False,False,False,[],"['/accept all/gi', '/reject all/gi', '/by continuing/gi', '/use of cookies/gi', '/(this|our) (web)?site.*cookies/gi', '/cookies (and|or) .* technologies/gi']","['Accept All', 'Reject All', 'By continuing', 'use of cookies', 'This website uses cookies and similar technologies to provide you with the best user experience and help us understand how our site is used. We also share information about your use of our website wit', 'cookies and similar technologies']",http://sherwin-williams.com/,https://www.sherwin-williams.com/
True,iubenda,True,True,True,False,[],[],[],http://ansa.it/,https://www.ansa.it/
True,sibbo,True,True,True,False,[],[],[],http://antena3.com/,https://www.antena3.com/
True,Onetrust,True,True,True,False,[],[],[],http://antena3.ro/,https://www.antena3.ro/
True,Onetrust,True,True,True,False,[],[],[],http://drogaraia.com.br/,https://www.drogaraia.com.br/
True,Onetrust,True,True,True,False,[],[],[],http://drogariasaopaulo.com.br/,https://www.drogariasaopaulo.com.br/
False,,False,False,False,False,[],"['/accept all/gi', '/we (use|serve)( optional)? cookies/gi']","['Accept All', 'We use cookies']",http://dropbox.com/,https://www.dropbox.com/
True,Drupal,True,True,True,False,[],[],[],http://drupal.org/,https://www.drupal.org/
True,Onetrust,True,True,True,False,[],"['/accept cookies/gi', '/(this|our) (web)?site.*cookies/gi']","['Accept Cookies', 'This website uses cookies']",http://dstillery.com/,https://dstillery.com/
True,com_didomi.io,True,True,True,False,[],[],[],http://pomorska.pl/,https://pomorska.pl/
False,,False,False,False,False,[],"['/by continuing/gi', '/we (use|serve)( optional)? cookies/gi', '/use of cookies/gi', '/(this|our) (web)?site.*cookies/gi']","['By continuing', 'We use cookies', 'use of cookies', 'our site. By continuing to browse this site, you agree to our use of cookies']",http://poperblocker.com/,https://poperblocker.com/
True,com_didomi.io,True,True,True,False,[],[],[],http://poranny.pl/,https://poranny.pl/
False,,False,False,False,False,[],"['/use of cookies/gi', '/(this|our) (web)?site.*cookies/gi']","['use of cookies', 'this site you swear that you are of legal age in your area to view adult material and that you wish to view such material.All porn videos and images are property and copyright of their owners.All mode']",http://porndude.me/,https://porndude.me/
False,,False,False,False,False,[],['/we (use|serve)( optional)? cookies/gi'],['We use cookies'],http://pornhat.com/,https://www.pornhat.com/
False,,False,False,False,False,[],['/we (use|serve)( optional)? cookies/gi'],['We use cookies'],http://pornhat.one/,https://www.pornhat.one/
False,,False,False,False,False,[],['/we (use|serve)( optional)? cookies/gi'],['We use cookies'],http://pornhubs.video/,https://pornhubs.video/
True,Onetrust,True,True,True,False,[],"['/by continuing/gi', '/we (use|serve)( optional)? cookies/gi', '/use of cookies/gi', '/(this|our) (web)?site.*cookies/gi', '/consent to.*cookies/gi']","['By continuing', 'We use cookies', 'use of cookies', 'our website. To learn more, visit our Privacy Policy. By continuing to use this site, or closing this box, you consent to our use of cookies', 'consent to our use of cookies']",http://gartner.com/,https://www.gartner.com/en
True,Onetrust,True,True,True,False,[],"['/accept all/gi', '/reject all/gi', '/by clicking.*(accept|agree|allow)/gi']","['Accept All', 'Reject All', 'By clicking “Accept All Cookies”, you agree']",http://gasbuddy.com/,https://www.gasbuddy.com/
True,eu-cookie-compliance-banner,True,True,True,False,[],['/(this|our) (web)?site.*cookies/gi'],['This website uses cookies'],http://gatech.edu/,https://www.gatech.edu/
True,Onetrust,True,True,True,False,[],"['/accept all/gi', '/by clicking.*(accept|agree|allow)/gi', '/(this|our) (web)?site.*cookies/gi', '/cookies (and|or) .* technologies/gi', '/consent to.*cookies/gi', '/we and our partners.*cookies/gi']","['Accept All', 'By clicking “Accept All,” you consent to the placement of these additional cookies and similar technologies. You can change and manage your cookie settings at any time by clicking ""Manage Cookies"". By', 'our site work. We and our partners also use (with your consent) additional cookies', 'cookies and similar technologies', 'consent to the placement of these additional cookies and similar technologies. You can change and manage your cookie settings at any time by clicking ""Manage Cookies"". By using the site you acknowledg', 'We and our partners also use (with your consent) additional cookies']",http://gatesfoundation.org/,https://www.gatesfoundation.org/
False,,False,False,False,False,[],['/by continuing/gi'],['By continuing'],http://gays-cruising.com/,https://www.gays-cruising.com/en
True,Onetrust,True,True,True,False,[],[],[],http://gazeta.pl/,"https://www.gazeta.pl/0,0.html"
True,com_didomi.io,True,True,True,False,[],[],[],http://gazetakrakowska.pl/,https://gazetakrakowska.pl/
True,quantcast,True,True,True,False,[],[],[],http://gazzetta.gr/,https://www.gazzetta.gr/
